store,visits 2019-P10,visits 2019-P09,visits 2018-P10
Fairview,1260,5871.0,5344.0
GQA,3279,13940.0,9148.0
chicoutimi,1175,5082.0,
stbruno,2046,8778.0,
mtltrust,2438,11834.0,11092.0
fairviewmall,0,,
sherbrooke,1052,4856.0,
GOA_ON,2187,10300.0,9967.0
bayshore,916,4661.0,4254.0
Quebec,18177,88625.0,54868.0
pacificcentre,1399,5300.0,
Grand_Total,37763,175917.0,100401.0
GOA_QC,1043,11525.0,
eatonto,2578,11721.0,10344.0
REGIONAL_ON,910,4061.0,3326.0
scarborough,965,4889.0,4594.0
rivieres,868,3650.0,4248.0
gatineau,1043,11525.0,
GTA,10643,48528.0,32240.0
laval,2632,11983.0,11212.0
westedmonton,727,3148.0,
COMP_QUE,11231,50925.0,23036.0
Ontario,13740,62889.0,45533.0
mapleview,1024,4407.0,
anjou,1628,7226.0,7344.0
West,5846,24403.0,
REGIONAL_QC,3095,13588.0,4248.0
dix30,756,3880.0,6480.0
massonville,910,4061.0,3326.0
ottawa,1271,5639.0,5713.0
GMA,10760,49572.0,41472.0
gcapitale,1649,6481.0,9148.0
squareone,1266,6075.0,
vaughan,783,3780.0,
guildford,796,3353.0,
marketmall,1546,6770.0,
stefoy,1630,7459.0,
limeridge,1207,4594.0,4921.0
sherway,1112,5576.0,5458.0
COMP_TOTAL,21898,99552.0,42419.0
COMP_ONT,10667,48627.0,19383.0
polopark,1378,5832.0,
oshawa,872,3518.0,2915.0
uppercanada,836,3968.0,4008.0
