store,tphw 2019-W40,tphw 2019-W39,tphw 2018-W40
anjou,15.3150242326333,8.62011173184358,
bayshore,12.7021883920076,6.01700457815566,
chicoutimi,19.1111111111111,7.48227349465391,
COMP_ONT,13.9556318619256,6.43396862542887,12.6507630760113
COMP_QUE,17.2019548276318,7.64323189926547,
COMP_TOTAL,15.4520768134825,6.98975436189824,29.5895688250111
dix30,9.01848049281314,4.81981544439048,
eatonto,16.0696894275511,7.62810559006211,6.46910653430138
Fairview,17.5780691299166,7.42298288508558,
fairviewmall,0.0,,
gatineau,22.5671641791045,16.4430673896204,
gcapitale,16.4857881136951,7.31615925058548,
GMA,18.0978826796251,7.90467894474862,
GOA_ON,12.490157480315,6.07252494244052,
GOA_QC,22.5671641791045,16.4430673896204,
GQA,18.8872180451128,7.46003134796238,
Grand_Total,16.6544494274592,7.17385193005691,72.9648836864721
GTA,14.4353725581939,6.52536421810557,22.4092458141947
guildford,19.1171749598716,5.22706209453197,
laval,17.84329657574,7.88793103448276,
limeridge,13.1517655897821,5.9050240880936,
mapleview,11.9181380417335,6.04181951577403,
marketmall,18.8539511791477,6.82076863626783,
massonville,12.6164874551971,6.65622903153657,
mtltrust,24.3554006968641,8.7946698970321,
Ontario,13.955859169732,6.46218018747564,31.6758038227886
oshawa,11.3253012048193,5.2557200538358,
ottawa,12.3404969778375,6.11615555936269,
pacificcentre,29.2544627231362,8.58382467460229,
polopark,17.9854208084824,6.66388099615577,
Quebec,18.672517632846,8.022583429229,
REGIONAL_ON,12.6164874551971,6.65622903153657,
REGIONAL_QC,19.476821192053,6.87961055982026,
rivieres,20.2868852459016,7.86425339366516,
scarborough,18.0811332904057,6.77736647276573,
sherbrooke,19.2540192926045,5.81769436997319,
sherway,16.169028340081,6.78814683768244,
squareone,16.3047786831094,7.77514456346573,
stbruno,24.1233373639661,8.94654312188168,
stefoy,22.2302158273381,7.60503540519276,
uppercanada,13.1818181818182,5.37822474857892,
vaughan,13.8041830857836,5.71528262386602,
West,18.8535101064986,6.67888227210261,
westedmonton,11.6946399566865,5.60792715586502,
