store,tphw 2019,tphw 2018,tphw 2017
Alberta,,,
anjou,10.2143515956466,10.2143515956466,
bayshore,4.88888651381269,4.88888651381269,
British Columbia,,,
chicoutimi,0.865695861980612,0.865695861980612,
dix30,8.69872338282567,8.69872338282567,
eatonto,10.976451505286,10.976451505286,
Fairview,7.91644090261162,7.91644090261162,
gatineau,,,
GCA,,,
gcapitale,6.40271250167852,6.40271250167852,
GEA,,,
GMA,10.0424374125269,10.0424374125269,
GOA,5.92022985628022,5.92022985628022,
GQA,3.85528952471563,3.85528952471563,
Grand_Total,6.50083711612427,6.50083711612427,
GTA,5.86749277978192,5.86749277978192,
guildford,,,
GVA,,,
GWA,,,
laval,14.5243239037935,14.5243239037935,
limeridge,7.31781187458305,7.31781187458305,
Manitoba,,,
mapleview,,,
marketmall,,,
massonville,6.33729638644449,6.33729638644449,
mtltrust,14.9116659063576,14.9116659063576,
Ontario,6.19704673262578,6.19704673262578,
oshawa,4.68651276216309,4.68651276216309,
ottawa,10.0266372693521,10.0266372693521,
pacificcentre,,,
polopark,,,
Quebec,7.33805503624007,7.33805503624007,
REGIONAL_ON,6.33729638644449,6.33729638644449,
REGIONAL_QC,3.00150704951612,3.00150704951612,
rivieres,10.7199789852897,10.7199789852897,
scarborough,8.90473083285727,8.90473083285727,
sherbrooke,,,
sherway,7.90349439662818,7.90349439662818,
squareone,,,
stbruno,2.19234532999891,2.19234532999891,
stefoy,,,
uppercanada,4.04450402419119,4.04450402419119,
vaughan,,,
westedmonton,,,
